hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae4d69,2026-05-25 23:35:56.714036,RCH185,10-0216,1140,34000,32.8,32.7,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:35:56.714040,UNK C/S,63-8884,Unavailable,25000,47.1,-118.9,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:35:56.714044,MOOSE40,89-1191,3416,34000,32.4,33.5,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:36:58.015024,UNK C/S,80-0137,Unavailable,11075,61.727489,-149.510498,E-3G AWACS,233,289,-1257,False,mlat
ae1171,2026-05-25 23:36:58.015056,RCH125,02-1099,3256,34000,36.099792,-128.159241,C-17A Globemaster,249,454,-64,False,adsb_icao
ae04c5,2026-05-25 23:36:58.015068,UNK C/S,59-1476,1565,31000,40.511108,-114.321175,KC-135R Stratotanker,165,469,,False,adsb_icao
ae07a8,2026-05-25 23:36:58.015072,UNK C/S,59-1508,7442,26275,37.304039,-113.921814,KC-135R Stratotanker,208,418,-2168,False,mlat
ae123a,2026-05-25 23:36:58.015098,RCH530,04-4128,0700,19100,13.973678,-17.989389,C-17A Globemaster,210,429,,False,adsb_icao
ae2fa7,2026-05-25 23:36:58.015106,RCH466,08-8195,0634,30000,50.488789,-5.950952,C-17A Globemaster,250,468,64,False,adsb_icao
ae0363,2026-05-25 23:36:58.015117,UNK C/S,60-0341,4131,27000,43.617722,24.236103,KC-135R Stratotanker,185,452,128,False,mlat
ae04e1,2026-05-25 23:36:58.015121,UNK C/S,58-0120,4137,26975,43.838375,24.519442,KC-135R Stratotanker,235,515,-46,False,mlat
06a249,2026-05-25 23:36:58.015127,LHOB270,A7-MAB,2056,10400,37.539413,27.414278,C-17A Globemaster,343,313,-1472,False,adsb_icao
ae1468,2026-05-25 23:36:58.015135,MOOSE68,07-7170,4403,33975,31.9,33.8,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:36:58.015140,UNK C/S,19-46110,Unavailable,25000,38.1,-123.6,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:36:58.015150,MOOSE67,10-0218,7424,33025,34.5,30.6,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:36:58.015156,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:36:58.015161,UNK C/S,59-1515,Unavailable,26000,37.7,-123.6,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:36:58.015166,UNK C/S,19-46065,0711,17000,25.4,57.2,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:36:58.015170,UNK C/S,58-0089,Unavailable,25450,37.8,-123.1,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:36:58.015176,RCH185,10-0216,1140,34000,33.5,32.9,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:36:58.015180,UNK C/S,63-8884,Unavailable,25000,47.1,-118.9,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:36:58.015183,MOOSE40,89-1191,3416,34000,32.6,33.1,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:37:59.306227,UNK C/S,80-0137,Unavailable,10275,61.663364,-149.666809,E-3G AWACS,228,296,-555,False,mlat
ae04c5,2026-05-25 23:37:59.306254,UNK C/S,59-1476,1565,31025,40.381554,-114.278351,KC-135R Stratotanker,165,469,,False,adsb_icao
ae07a8,2026-05-25 23:37:59.306260,UNK C/S,59-1508,7442,23625,37.203365,-113.990891,KC-135R Stratotanker,207,404,-2785,False,mlat
ae123a,2026-05-25 23:37:59.306286,RCH530,04-4128,0700,20125,13.854737,-17.99946,C-17A Globemaster,180,429,,False,adsb_icao
