hex,callsign,datetime,squawk,altitude,latitude,longitude,type,heading,ground speed,indicated airspeed
ae145b,RCH813,2025-05-24 15:34:20.015070,3232,11800,38.171616,-121.48233,C-17A Globemaster,83,376,
ae1235,RCH863,2025-05-24 15:34:20.015088,727,36000,48.410515,-119.645935,C-17A Globemaster,288,425,
c2b3d7,CFC4069,2025-05-24 15:34:20.015096,1774,24825,53.198822,-111.845924,C-17A Globemaster,104,465,
ae1449,RCH045,2025-05-24 15:34:20.015104,7376,36000,37.456207,-102.137955,C-17A Globemaster,249,377,
ae20c6,RCH878,2025-05-24 15:34:20.015111,1772,35000,42.315811,-78.099655,C-17A Globemaster,82,514,
ae1469,RCH676,2025-05-24 15:34:20.015117,1330,24650,44.796425,-68.931412,C-17A Globemaster,40,435,
ae1196,RCH333,2025-05-24 15:34:20.015123,2401,36000,48.487602,-66.083122,C-17A Globemaster,250,461,
ae145b,RCH813,2025-05-24 15:35:20.378155,3232,13675,38.185192,-121.347931,C-17A Globemaster,83,377,
ae1235,RCH863,2025-05-24 15:35:20.378170,727,36000,48.460316,-119.812752,C-17A Globemaster,301,459,
c2b3d7,CFC4069,2025-05-24 15:35:20.378176,1774,26575,53.165169,-111.635635,C-17A Globemaster,105,467,
ae1449,RCH045,2025-05-24 15:35:20.378184,7376,36000,37.410427,-102.270264,C-17A Globemaster,243,396,
ae20c6,RCH878,2025-05-24 15:35:20.378192,1772,35000,42.338715,-77.907516,C-17A Globemaster,81,511,
ae1469,RCH676,2025-05-24 15:35:20.378197,1330,25325,44.884434,-68.821297,C-17A Globemaster,40,431,
ae1196,RCH333,2025-05-24 15:35:20.378202,2401,36025,48.443985,-66.268265,C-17A Globemaster,250,461,
ae145b,RCH813,2025-05-24 15:36:20.707874,3232,15325,38.198475,-121.216255,C-17A Globemaster,83,393,
ae1235,RCH863,2025-05-24 15:36:20.707893,727,36000,48.513264,-119.969055,C-17A Globemaster,297,429,
c2b3d7,CFC4069,2025-05-24 15:36:20.707901,1774,28575,53.131886,-111.429077,C-17A Globemaster,105,460,
ae1449,RCH045,2025-05-24 15:36:20.707908,7376,36000,37.378242,-102.411316,C-17A Globemaster,241,410,
ae20c6,RCH878,2025-05-24 15:36:20.707917,1772,35000,42.360729,-77.71936,C-17A Globemaster,78,511,
ae1469,RCH676,2025-05-24 15:36:20.707923,1330,26025,44.97847,-68.706345,C-17A Globemaster,40,438,
ae1196,RCH333,2025-05-24 15:36:20.707929,2401,36025,48.400921,-66.449577,C-17A Globemaster,250,459,
ae145b,RCH813,2025-05-24 15:37:21.052305,3232,16975,38.212364,-121.074722,C-17A Globemaster,83,410,
ae1235,RCH863,2025-05-24 15:37:21.052325,727,36000,48.56823,-120.131409,C-17A Globemaster,297,429,
c2b3d7,CFC4069,2025-05-24 15:37:21.052333,1774,30325,53.098553,-111.225182,C-17A Globemaster,105,459,
ae1449,RCH045,2025-05-24 15:37:21.052340,7376,36025,37.326199,-102.521004,C-17A Globemaster,245,389,
ae20c6,RCH878,2025-05-24 15:37:21.052349,1772,35000,42.382263,-77.534538,C-17A Globemaster,80,505,
ae1469,RCH676,2025-05-24 15:37:21.052355,1330,26725,45.070278,-68.591042,C-17A Globemaster,42,436,
ae1196,RCH333,2025-05-24 15:37:21.052361,2401,36000,48.358063,-66.628487,C-17A Globemaster,250,460,
ae145b,RCH813,2025-05-24 15:38:21.388546,3232,18875,38.22644,-120.928497,C-17A Globemaster,83,408,
ae1235,RCH863,2025-05-24 15:38:21.388565,727,36000,48.622303,-120.291763,C-17A Globemaster,297,436,
c2b3d7,CFC4069,2025-05-24 15:38:21.388573,1774,31725,53.064194,-111.017685,C-17A Globemaster,105,464,
