hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae5e13,2026-08-14 01:08:00.850874,KANZA54,17-46038,2122,3575,37.748089,-97.234062,KC-46A Pegasus,196,133,-742,False,mlat
ae01d3,2026-08-14 01:08:00.850885,HOOVR29,62-4129,4232,3100,40.981293,-95.905334,RC-135 Rivet Joint,135,194,0,False,adsb_icao
ae01cb,2026-08-14 01:08:00.850890,TOPCT35,62-4135,2610,4125,40.953781,-95.539612,RC-135 Rivet Joint,126,206,-64,False,adsb_icao
afd85f,2026-08-14 01:08:00.850895,UNK C/S,,0667,20000,31.532515,-94.710861,E-6B TACAMO,356,373,28,False,mlat
ae5e12,2026-08-14 01:08:00.850905,RCH429,17-46037,2132,31025,39.861233,-92.000046,KC-46A Pegasus,62,515,57,False,mlat
ae015f,2026-08-14 01:08:00.850935,RCH406,58-0119,2344,4075,35.796459,-84.186836,KC-135R Stratotanker,189,190,-1078,False,mlat
ae0804,2026-08-14 01:08:00.850947,RCH696,99-0058,7147,30000,38.648693,-80.801392,C-17A Globemaster,249,434,,False,adsb_icao
ae5ba6,2026-08-14 01:08:00.850952,FIXER02,168993,5101,4525,30.003433,-80.788933,E-2 Hawkeye,353,183,-64,False,adsb_icao
ae144e,2026-08-14 01:08:00.850967,SLAM91,05-5144,1623,5925,40.149429,-74.643578,C-17A Globemaster,267,261,2639,False,mlat
ae07cf,2026-08-14 01:08:00.850974,RCH405,89-1191,7047,30000,41.574936,-72.239273,C-17A Globemaster,212,451,0,False,mlat
33fe7d,2026-08-14 01:08:00.850984,IAM1437,MM62227,6662,35000,18.259138,-23.965076,KC-46A Pegasus,30,460,,False,adsb_icao
ae49c3,2026-08-14 01:08:00.850989,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:08:00.850997,RCH312,00-0177,1142,7000,49.497547,7.107356,C-17A Globemaster,174,245,-355,False,mlat
06a256,2026-08-14 01:08:00.851002,LHOB282,A7-MAE,4311,33000,35.507206,22.965458,C-17A Globemaster,115,479,,False,adsb_icao
ae146f,2026-08-14 01:08:00.851007,MOOSE59,07-7177,0762,34000,38.978172,24.731613,C-17A Globemaster,345,452,0,False,mlat
ae05ad,2026-08-14 01:08:00.851013,UNK C/S,63-8043,5305,20000,31.041376,35.430283,KC-135R Stratotanker,304,388,0,False,mlat
ae068e,2026-08-14 01:08:00.851018,UNK C/S,62-3529,3416,21025,31.064766,35.819164,KC-135R Stratotanker,262,404,-96,False,mlat
ae04dc,2026-08-14 01:08:00.851022,UNK C/S,57-1461,3423,19000,30.937054,35.902779,KC-135R Stratotanker,84,438,0,False,mlat
ae119c,2026-08-14 01:08:00.851030,RCH343,03-3119,Unavailable,Unavailable,38.7,-122.6,C-17A Globemaster,,,,False,mode_s
ae07ef,2026-08-14 01:08:00.851036,RCH428,96-0005,3317,32000,31.9,31.3,C-17A Globemaster,,,,False,mode_s
ae04eb,2026-08-14 01:08:00.851042,UNK C/S,61-0311,3561,24950,47.8,-112.5,KC-135R Stratotanker,,,,False,mode_s
ae5bc2,2026-08-14 01:08:00.851050,KROME11,16-46017,Unavailable,11975,46.6,-113.8,KC-46A Pegasus,,,,False,mode_s
ae0593,2026-08-14 01:08:00.851054,UNK C/S,58-0113,3576,26000,49.6,-112.5,KC-135R Stratotanker,,,,False,mode_s
aefa7d,2026-08-14 01:08:00.851059,UNK C/S,,Unavailable,Unavailable,27.6,-96.3,E-6B TACAMO,,,,False,mode_s
ae49c5,2026-08-14 01:09:01.055117,UNK C/S,09-9209,2231,7000,21.220922,-158.053818,C-17A Globemaster,285,292,-2049,False,mlat
ae0483,2026-08-14 01:09:01.055141,UNK C/S,60-0339,4604,2600,64.923187,-147.671295,KC-135R Stratotanker,221,193,-1333,False,mlat
afde25,2026-08-14 01:09:01.055150,UNK C/S,,0642,24000,39.192188,-123.553101,E-6B TACAMO,238,462,0,False,mlat
ae0572,2026-08-14 01:09:01.055185,RCH2038,86-0021,1624,35000,34.841949,-98.660873,C-5M Galaxy,44,482,0,False,adsb_icao
ae5e13,2026-08-14 01:09:01.055204,KANZA54,17-46038,2122,2850,37.710918,-97.244339,KC-46A Pegasus,156,50,-700,False,mlat
ae01d3,2026-08-14 01:09:01.055213,HOOVR29,62-4129,4232,3100,40.943298,-95.854431,RC-135 Rivet Joint,134,195,0,False,adsb_icao
ae01cb,2026-08-14 01:09:01.055220,TOPCT35,62-4135,2610,4125,40.910431,-95.550034,RC-135 Rivet Joint,260,221,0,False,adsb_icao
afd85f,2026-08-14 01:09:01.055226,UNK C/S,,0667,19975,31.646776,-94.715836,E-6B TACAMO,360,394,3,False,mlat
ae5e12,2026-08-14 01:09:01.055235,RCH429,17-46037,2132,31000,39.924694,-91.841133,KC-46A Pegasus,60,522,-1,False,mlat
ae015f,2026-08-14 01:09:01.055264,RCH406,58-0119,2344,3150,35.743916,-84.200607,KC-135R Stratotanker,193,186,-988,False,mlat
ae0804,2026-08-14 01:09:01.055276,RCH696,99-0058,7147,30000,38.591125,-80.938248,C-17A Globemaster,239,438,,False,adsb_icao
ae5ba6,2026-08-14 01:09:01.055282,FIXER02,168993,5101,4450,30.045731,-80.763618,E-2 Hawkeye,67,194,-128,False,adsb_icao
ae144e,2026-08-14 01:09:01.055297,SLAM91,05-5144,1623,6050,40.148804,-74.742348,C-17A Globemaster,272,268,1,False,mlat
ae07cf,2026-08-14 01:09:01.055304,RCH405,89-1191,7047,30000,41.474255,-72.325279,C-17A Globemaster,213,437,0,False,mlat
33fe7d,2026-08-14 01:09:01.055314,IAM1437,MM62227,6662,35000,18.351746,-23.906937,KC-46A Pegasus,31,459,,False,adsb_icao
ae49c3,2026-08-14 01:09:01.055319,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
ae0813,2026-08-14 01:09:01.055328,RCH312,00-0177,1142,6350,49.43708,7.118224,C-17A Globemaster,178,191,-894,False,mlat
06a256,2026-08-14 01:09:01.055333,LHOB282,A7-MAE,4311,33000,35.45137,23.109627,C-17A Globemaster,115,481,-32,False,adsb_icao
ae146f,2026-08-14 01:09:01.055337,MOOSE59,07-7177,0762,33975,39.098244,24.684202,C-17A Globemaster,345,443,-37,False,mlat
ae05ad,2026-08-14 01:09:01.055343,UNK C/S,63-8043,5305,20000,31.137829,35.375313,KC-135R Stratotanker,355,412,0,False,mlat
ae068e,2026-08-14 01:09:01.055347,UNK C/S,62-3529,5310,21025,31.048986,35.687248,KC-135R Stratotanker,262,404,-32,False,mlat
ae04dc,2026-08-14 01:09:01.055350,UNK C/S,57-1461,3423,19000,30.810909,36.2575,KC-135R Stratotanker,94,460,0,False,mlat
ae07ef,2026-08-14 01:09:01.055359,RCH428,96-0005,3317,32000,31.1,32.6,C-17A Globemaster,,,,False,mode_s
ae04eb,2026-08-14 01:09:01.055365,UNK C/S,61-0311,3561,24975,48.7,-114.0,KC-135R Stratotanker,,,,False,mode_s
ae5bc2,2026-08-14 01:09:01.055371,KROME11,16-46017,Unavailable,11425,46.6,-113.8,KC-46A Pegasus,,,,False,mode_s
ae0593,2026-08-14 01:09:01.055377,UNK C/S,58-0113,3576,26000,49.1,-112.9,KC-135R Stratotanker,,,,False,mode_s
aefa7d,2026-08-14 01:09:01.055382,UNK C/S,,Unavailable,Unavailable,27.1,-96.5,E-6B TACAMO,,,,False,mode_s
ae49c5,2026-08-14 01:10:01.343962,UNK C/S,09-9209,2231,5225,21.232805,-158.137329,C-17A Globemaster,277,265,-1406,False,mlat
ae0483,2026-08-14 01:10:01.343984,UNK C/S,60-0339,4604,1650,64.879059,-147.735291,KC-135R Stratotanker,215,183,-936,False,mlat
afde25,2026-08-14 01:10:01.343990,UNK C/S,,0642,23025,39.128559,-123.683289,E-6B TACAMO,237,447,-1080,False,mlat
ae0572,2026-08-14 01:10:01.344018,RCH2038,86-0021,1624,35000,34.938061,-98.545242,C-5M Galaxy,44,484,-64,False,adsb_icao
ae5e13,2026-08-14 01:10:01.344033,KANZA54,17-46038,2122,2175,37.67514,-97.254242,KC-46A Pegasus,184,140,-641,False,mlat
ae01d3,2026-08-14 01:10:01.344042,HOOVR29,62-4129,4232,3100,40.91716,-95.798584,RC-135 Rivet Joint,66,187,448,False,adsb_icao
ae01cb,2026-08-14 01:10:01.344047,TOPCT35,62-4135,2610,4100,40.941761,-95.618507,RC-135 Rivet Joint,308,223,0,False,adsb_icao
afd85f,2026-08-14 01:10:01.344051,UNK C/S,,0667,20000,31.748791,-94.720253,E-6B TACAMO,356,393,-24,False,mlat
ae5e12,2026-08-14 01:10:01.344060,RCH429,17-46037,2132,31025,39.991791,-91.670883,KC-46A Pegasus,62,509,46,False,mlat
ae015f,2026-08-14 01:10:01.344086,RCH406,58-0119,2344,2975,35.710907,-84.176399,KC-135R Stratotanker,112,238,146,False,mlat
ae0804,2026-08-14 01:10:01.344095,RCH696,99-0058,7147,30000,38.52919,-81.072655,C-17A Globemaster,239,440,,False,adsb_icao
ae5ba6,2026-08-14 01:10:01.344101,FIXER02,168993,7700,4450,30.055614,-80.705734,E-2 Hawkeye,43,190,-384,False,adsb_icao
ae144e,2026-08-14 01:10:01.344116,SLAM91,05-5144,1623,6875,40.130581,-74.829788,C-17A Globemaster,219,291,1002,False,mlat
ae07cf,2026-08-14 01:10:01.344123,RCH405,89-1191,7047,30000,41.367027,-72.416328,C-17A Globemaster,215,431,0,False,mlat
33fe7d,2026-08-14 01:10:01.344133,IAM1437,MM62227,6662,35000,18.492504,-23.818359,KC-46A Pegasus,30,458,,False,adsb_icao
ae49c3,2026-08-14 01:10:01.344138,RCH220,09-9207,Unavailable,Unavailable,3.759899,-2.825203,C-17A Globemaster,67,416,-32,False,mode_s
